years,gics_sector,ticker,avg_daily_close_change,avg_adj_close
2017,Consumer Discretionary,ROST,0.0009476741444520192,61.51830995415311
2017,Consumer Discretionary,TGT,-5.920395104309546e-05,51.334584528706465
2017,Consumer Discretionary,TJX,0.00019368774249523544,34.56778482991861
2017,Consumer Discretionary,TSLA,0.0017478682785178061,62.863258969736286
2017,Consumer Discretionary,VFC,0.0014921284120446357,49.76859128427696
2017,Consumer Staples,ADM,-0.0003268047337879918,36.91010243389236
2017,Consumer Staples,CAG,-5.068941087462246e-05,32.06117270572252
2017,Consumer Staples,CLX,0.00099456189398772,117.98577066246732
2017,Consumer Staples,EL,0.0021501622277249628,95.16184499064289
2017,Consumer Staples,HRL,0.000331171669102502,30.835209736311104
2017,Consumer Staples,HSY,0.0004967511816211385,96.99353246194907
2017,Consumer Staples,KMB,0.00038422763928425716,105.65149254057987
2017,Consumer Staples,MO,0.0004136027431692489,50.85048912625864
2017,Consumer Staples,PEP,0.0006722267654810469,98.14378615299545
2017,Consumer Staples,SJM,6.398145548766112e-05,105.0925958033102
2017,Consumer Staples,SYY,0.0005174304785920065,47.6564339109626
2017,Consumer Staples,WBA,-0.00037528377809724274,66.94206777321865
2017,Energy,BKR,-0.001219742359196863,32.46041824523196
2017,Energy,CTRA,0.001001659852074752,21.295405520860893
2017,Energy,CVX,0.0004403375069161337,89.31601377692355
2017,Energy,DVN,-0.00017632143057727423,31.992873309617973
2017,Energy,EOG,0.00036672533841698924,83.99402056082312
2017,Energy,HES,-0.0007989999521152935,42.818096145690674
2017,Energy,KMI,-0.0003787265933341891,15.1392749505214
2017,Energy,OKE,1.3812751163023271e-05,38.13388342686383
2017,Energy,OXY,0.0003868725047320059,54.06995952651795
2017,Energy,PXD,7.677180946856748e-06,148.9147409081934
2017,Energy,SLB,-0.0006947546271753554,60.570486866620435
2017,Energy,WMB,0.00017390446591388037,22.05652432992639
2017,Financials,AFL,0.0010410733666969742,34.613838704933684
2017,Financials,AIG,-0.00022877819183614908,54.598950116282914
2017,Financials,AIZ,0.00048817126038959994,89.42917095047544
2017,Financials,ALL,0.0014760031106840876,79.67154830385489
2017,Financials,CMA,0.0011247270214690395,61.127332315027004
2017,Financials,FDS,0.0007754397389851926,165.0074737670412
2017,Financials,FRC,-0.0001455268569005904,92.77106810186014
2017,Financials,GS,0.00037375712227328823,213.9183978198534
2017,Financials,IVZ,0.0009569536669816145,26.54858065601364
2017,Financials,SCHW,0.0011818351509128608,39.89587071027414
2017,Financials,TFC,0.0003894060142627033,38.91343579539265
2017,Financials,WFC,0.0005567314542559507,47.60963746940947
2017,Health Care,ABC,0.0008402432403246176,79.12798984117242
2017,Health Care,AMGN,0.0008630447894231723,147.50278317880822
2017,Health Care,ANTM,0.0019061410459931768,175.0561352612013
2017,Health Care,BAX,0.001578931891467856,54.94160508539572
2017,Health Care,BIIB,0.0005705528921611379,291.0549403338793
2017,Health Care,HOLX,0.00033262925294513335,41.291991898738054
2017,Health Care,IDXX,0.00126435759649874,154.00091653041156
2017,Health Care,ILMN,0.0023078819363227445,185.78569754186378
2017,Health Care,ISRG,0.002249807241028802,102.39468766778589
2017,Health Care,STE,0.0011474192201996083,76.0441353786514
2017,Health Care,VRTX,0.003108613977835232,126.90382482521088
2017,Health Care,WST,0.0007215364421218005,89.32748109125995
2017,Industrials,AOS,0.0011180039851806432,50.763829311051694
2017,Industrials,EMR,0.0010729667331254257,53.26501350858772
2017,Industrials,FAST,0.0008206138344261421,20.537980060653382
2017,Industrials,HON,0.001219512698319186,116.7414374180524
2017,Industrials,LDOS,0.001085645880310078,51.444171981507566
2017,Industrials,LUV,0.0012326941563552065,54.91184875974617
2017,Industrials,NDSN,0.0012245092612570678,116.89358824467755
2017,Industrials,RHI,0.0007015709786901449,44.3314323425293
2017,Industrials,SWK,0.001669541291598126,130.9524475644784
2017,Industrials,TT,0.0008247467979045799,61.20372512331047
2017,Industrials,UPS,0.00032348622718269616,96.20268982055178
2017,Industrials,WAB,5.973910253080898e-05,77.45009217889185
2017,Information Technology,AVGO,0.0016817852431199303,202.37332925378564
2017,Information Technology,EPAM,0.0021385888801010765,83.13780876554816
2017,Information Technology,HPQ,0.0015812778133979,16.349331080676077
2017,Information Technology,INTU,0.0013805454223666392,130.75921177959063
2017,Information Technology,IT,0.0008652871229981689,116.09039832491324
2017,Information Technology,LRCX,0.0024048107910193003,145.44903406393956
2017,Information Technology,MSFT,0.0014052246639146262,68.00690083294751
2017,Information Technology,NXPI,0.0007176254339131694,104.94187659761346
2017,Information Technology,PTC,0.001214078142875925,56.37677283116071
2017,Information Technology,TRMB,0.0012634819538474653,36.1892827630518
2017,Information Technology,V,0.0015742242597442835,94.81511706470019
2017,Information Technology,VRSN,0.0016635792680259264,96.47976100967225
2017,Materials,APD,0.0006889865654233238,131.68672979590428
2017,Materials,CE,0.0013586264266688673,86.39920293192465
2017,Materials,CF,0.0015980077268178574,28.066578640880813
2017,Materials,DD,0.0011560570770151805,79.98679157272278
2017,Materials,ECL,0.0006065466514753259,123.21338231060135
2017,Materials,IP,0.000567997185008327,41.94846280162553
2017,Materials,MOS,-0.00027175708600734173,23.867456390563234
2017,Materials,NUE,0.0004992749228321506,51.66185043152585
2017,Materials,PKG,0.0015631647339707146,92.2412405735943
2017,Materials,SEE,0.00046327891221264794,42.27243025274391
2017,Materials,SHW,0.0017785827365908642,110.0766258391726
2017,Materials,VMC,0.00025651094192537987,115.98965490576755
2017,Real Estate,ARE,0.0007951842760267269,104.87412416982461
2017,Real Estate,BXP,0.0002740547776339795,108.43233070525515
2017,Real Estate,CCI,0.0011840309804007684,85.2269271303458
2017,Real Estate,CPT,0.0005349629328315369,75.30605294884913
2017,Real Estate,DLR,0.0007984124583085348,97.18918062491245
2017,Real Estate,FRT,-8.77243579634709e-05,111.07177658385015
2017,Real Estate,HST,0.00042989424103357483,16.566169035862167
2017,Real Estate,KIM,-0.0008877679275237187,15.832559973120214
2017,Real Estate,O,0.00020355821297997792,45.16150323328269
2017,Real Estate,PSA,-5.877270899827e-05,181.975861142831
2017,Real Estate,REG,0.00021165699180698214,54.349313469996964
2017,Real Estate,WELL,5.104172617628954e-05,56.830157929682635
2017,Utilities,AES,2.330782769819625e-05,9.490441535098618
2017,Utilities,ATO,0.0007023719100569841,74.6510305518648
2017,Utilities,CMS,0.000650356901534916,40.55267198722201
2017,Utilities,CNP,0.0007447010313821396,23.882925664286216
2017,Utilities,DTE,0.0006030015908416804,76.80406541558376
2017,Utilities,ES,0.0006835167908865976,52.701404237177265
2017,Utilities,ETR,0.0006238574432254888,65.00658181179092
2017,Utilities,EXC,0.0006569430889343547,21.96466376771965
2017,Utilities,NEE,0.0012043968769732691,31.58824254982025
2017,Utilities,PEG,0.000816314793013173,39.3890193772031
2017,Utilities,SO,0.0001246930392286504,40.170802097396546
2017,Utilities,XEL,0.0008131305992102077,41.37665656648309
2018,Communication Services,DIS,0.00022873187941455108,105.87990652137543
2018,Communication Services,DISH,-0.00225027964452375,35.87402384784592
2018,Communication Services,EA,-0.0009380501184816885,117.05070054863553
2018,Communication Services,GOOGL,0.00012585426586857488,1122.0435856670972
2018,Communication Services,LUMN,0.0003549408705004399,13.544172628942238
2018,Communication Services,LYV,0.0008006260694764681,47.661195276267975
2018,Communication Services,MTCH,0.0020973063965626796,41.44966388413631
2018,Communication Services,NFLX,0.0017513090974741795,319.2903190096061
2018,Communication Services,TMUS,0.00013121045382826936,63.27278883428688
2018,Communication Services,TTWO,7.525946377340807e-05,115.89752978442675
2018,Communication Services,VZ,0.0005072038199034924,43.947218754377026
2018,Communication Services,WBD,0.0006672916400993625,26.570557803271775
2018,Consumer Discretionary,AAP,0.0020316309200656,134.74856381967248
